,averages_muscle_activity,muscle_number,sclerite_group,wing_list
1,-1.28725988317e-16,1,basalare,left
3,-1.24403123964e-18,2,basalare,left
5,2.12005830556e-16,3,basalare,left
7,4.60704901604e-17,1,hgs,left
9,4.50252118354e-16,2,hgs,left
11,-3.58218678134e-17,3,hgs,left
13,-1.68337564894e-17,4,hgs,left
15,2.16042293227e-17,1,first_axillary,left
17,4.58012516441e-17,2,first_axillary,left
19,-3.16462497767e-17,1,third_axillary,left
21,-1.59157917227e-16,3,third_axillary,left
