,averages_muscle_activity,muscle_number,sclerite_group,wing_list
0,6.43070644721e-17,1,basalare,right
2,2.91318557127e-17,2,basalare,right
4,1.21716745402e-16,3,basalare,right
6,4.24164216604e-17,1,hgs,right
8,-3.43803307688e-17,2,hgs,right
10,2.47357975584e-17,3,hgs,right
12,7.63942388094e-17,4,hgs,right
14,2.23648124702e-17,1,first_axillary,right
16,2.14187230699e-17,2,first_axillary,right
18,9.86823511047e-17,1,third_axillary,right
20,3.56271910229e-17,3,third_axillary,right
