averages_left_muscle_activity,averages_right_muscle_activity,muscles
0.632416753921,0.649209004647,b1
0.203138979786,0.231900429957,b2
0.60215289389,0.680241356207,b3
0.297824916625,0.26761861567,i1
0.254145201843,0.267567627577,i2
0.166309948,0.133675790046,iii1
0.508779948721,0.52264029863,iii3
0.25654558974,0.308980394026,hg1
0.312749564542,0.290348396303,hg2
0.0076767590477,,hg3
0.145385759558,0.527314451866,hg4
