,i1_kernel,i1_kernel_std,i1_scaled,iii3_kernel,iii3_kernel_std,iii3_scaled
15204,1.89322646311,0.0552139189976,0.0552139189976,5.59145042122,0.182225496413,0.182225496413
15205,1.89318596029,0.0551803242455,0.0551803242455,5.59142729908,0.18218509643,0.18218509643
15206,1.89314522719,0.0551465384949,0.0551465384949,5.59140417663,0.182144695918,0.182144695918
15207,1.8931042641,0.0551125619753,0.0551125619753,5.59138105388,0.182104294885,0.182104294885
15208,1.8930630713,0.0550783949244,0.0550783949244,5.59135793083,0.182063893335,0.182063893335
15209,1.89302164909,0.0550440375879,0.0550440375879,5.5913348075,0.182023491275,0.182023491275
15210,1.89297999776,0.0550094902194,0.0550094902194,5.59131168387,0.181983088709,0.181983088709
15211,1.89293811765,0.0549747530805,0.0549747530805,5.59128855996,0.181942685644,0.181942685644
15212,1.89289600907,0.0549398264408,0.0549398264408,5.59126543576,0.181902282086,0.181902282086
15213,1.89285367235,0.0549047105779,0.0549047105779,5.59124231129,0.18186187804,0.18186187804
15214,1.89281110784,0.0548694057772,0.0548694057772,5.59121918654,0.181821473513,0.181821473513
15215,1.8927683159,0.0548339123321,0.0548339123321,5.59119606152,0.181781068512,0.181781068512
15216,1.89272529689,0.0547982305438,0.0547982305438,5.59117293623,0.181740663041,0.181740663041
15217,1.89268205118,0.0547623607214,0.0547623607214,5.59114981068,0.181700257109,0.181700257109
15218,1.89263857915,0.0547263031819,0.0547263031819,5.59112668487,0.181659850721,0.181659850721
15219,1.89259488119,0.0546900582501,0.0546900582501,5.5911035588,0.181619443885,0.181619443885
15220,1.89255095771,0.0546536262585,0.0546536262585,5.59108043247,0.181579036605,0.181579036605
15221,1.89250680912,0.0546170075475,0.0546170075475,5.5910573059,0.181538628891,0.181538628891
15222,1.89246243583,0.0545802024652,0.0545802024652,5.59103417908,0.181498220748,0.181498220748
15223,1.89241783828,0.0545432113675,0.0545432113675,5.59101105202,0.181457812184,0.181457812184
15224,1.89237301689,0.0545060346178,0.0545060346178,5.59098792473,0.181417403206,0.181417403206
15225,1.89232797213,0.0544686725876,0.0544686725876,5.5909647972,0.18137699382,0.18137699382
15226,1.89228270445,0.0544311256556,0.0544311256556,5.59094166944,0.181336584035,0.181336584035
15227,1.89223721431,0.0543933942085,0.0543933942085,5.59091854146,0.181296173857,0.181296173857
15228,1.89219150218,0.0543554786405,0.0543554786405,5.59089541325,0.181255763295,0.181255763295
15229,1.89214556856,0.0543173793532,0.0543173793532,5.59087228484,0.181215352355,0.181215352355
15230,1.89209941394,0.0542790967561,0.0542790967561,5.59084915621,0.181174941046,0.181174941046
15231,1.89205303881,0.0542406312661,0.0542406312661,5.59082602737,0.181134529375,0.181134529375
15232,1.8920064437,0.0542019833074,0.0542019833074,5.59080289833,0.181094117351,0.181094117351
15233,1.89195962911,0.0541631533122,0.0541631533122,5.59077976909,0.18105370498,0.18105370498
15234,1.89191259559,0.0541241417197,0.0541241417197,5.59075663966,0.181013292272,0.181013292272
15235,1.89186534367,0.0540849489767,0.0540849489767,5.59073351004,0.180972879234,0.180972879234
15236,1.89181787389,0.0540455755375,0.0540455755375,5.59071038024,0.180932465875,0.180932465875
15237,1.89177018682,0.0540060218638,0.0540060218638,5.59068725026,0.180892052203,0.180892052203
15238,1.89172228302,0.0539662884244,0.0539662884244,5.5906641201,0.180851638227,0.180851638227
15239,1.89167416306,0.0539263756957,0.0539263756957,5.59064098977,0.180811223954,0.180811223954
15240,1.89162582753,0.0538862841613,0.0538862841613,5.59061785928,0.180770809395,0.180770809395
15241,1.89157727701,0.0538460143122,0.0538460143122,5.59059472863,0.180730394556,0.180730394556
15242,1.89152851212,0.0538055666464,0.0538055666464,5.59057159783,0.180689979448,0.180689979448
15243,1.89147953345,0.0537649416695,0.0537649416695,5.59054846687,0.18064956408,0.18064956408
15244,1.89143034163,0.0537241398938,0.0537241398938,5.59052533578,0.180609148459,0.180609148459
15245,1.89138093729,0.0536831618392,0.0536831618392,5.59050220454,0.180568732596,0.180568732596
15246,1.89133132105,0.0536420080325,0.0536420080325,5.59047907317,0.180528316499,0.180528316499
15247,1.89128149356,0.0536006790077,0.0536006790077,5.59045594167,0.180487900178,0.180487900178
15248,1.89123145548,0.0535591753058,0.0535591753058,5.59043281005,0.180447483642,0.180447483642
15249,1.89118120746,0.0535174974749,0.0535174974749,5.59040967831,0.180407066901,0.180407066901
15250,1.89113075018,0.0534756460701,0.0534756460701,5.59038654646,0.180366649964,0.180366649964
15251,1.8910800843,0.0534336216536,0.0534336216536,5.5903634145,0.180326232841,0.180326232841
15252,1.89102921053,0.0533914247942,0.0533914247942,5.59034028244,0.180285815541,0.180285815541
15253,1.89097812955,0.0533490560681,0.0533490560681,5.59031715029,0.180245398075,0.180245398075
15254,1.89092684206,0.0533065160579,0.0533065160579,5.59029401804,0.180204980452,0.180204980452
15255,1.89087534878,0.0532638053534,0.0532638053534,5.59027088572,0.180164562682,0.180164562682
15256,1.89082365043,0.0532209245511,0.0532209245511,5.59024775331,0.180124144775,0.180124144775
15257,1.89077174772,0.0531778742543,0.0531778742543,5.59022462083,0.180083726742,0.180083726742
15258,1.89071964141,0.0531346550731,0.0531346550731,5.59020148829,0.180043308593,0.180043308593
15259,1.89066733222,0.0530912676242,0.0530912676242,5.59017835568,0.180002890337,0.180002890337
15260,1.89061482092,0.0530477125311,0.0530477125311,5.59015522302,0.179962471987,0.179962471987
15261,1.89056210827,0.053003990424,0.053003990424,5.59013209031,0.179922053551,0.179922053551
15262,1.89050919502,0.0529601019395,0.0529601019395,5.59010895756,0.179881635041,0.179881635041
15263,1.89045608196,0.052916047721,0.052916047721,5.59008582477,0.179841216466,0.179841216466
15264,1.89040276987,0.0528718284184,0.0528718284184,5.59006269195,0.179800797839,0.179800797839
15265,1.89034925954,0.0528274446881,0.0528274446881,5.59003955911,0.17976037917,0.17976037917
15266,1.89029555177,0.0527828971929,0.0527828971929,5.59001642625,0.17971996047,0.17971996047
15267,1.89024164737,0.0527381866022,0.0527381866022,5.58999329338,0.179679541749,0.179679541749
15268,1.89018754715,0.0526933135918,0.0526933135918,5.5899701605,0.179639123019,0.179639123019
15269,1.89013325193,0.0526482788437,0.0526482788437,5.58994702763,0.179598704291,0.179598704291
15270,1.89007876255,0.0526030830464,0.0526030830464,5.58992389476,0.179558285576,0.179558285576
