averages_left_muscle_activity,averages_right_muscle_activity,muscles
0.662561603915,0.66673217619,b1
0.218264350104,0.251575378596,b2
0.60409102484,0.694693826898,b3
0.323430844226,0.299581821217,i1
0.447320917582,0.520716985048,i2
0.169697722828,0.14311064676,iii1
0.56520387477,0.490327511187,iii3
0.291022315043,0.371083546614,hg1
0.332697687884,0.331966140065,hg2
0.00228120201973,,hg3
0.14001686277,0.514327683133,hg4
