,averages_muscle_activity,muscle_number,sclerite_group,wing_list
0,1.46873324906e-16,1,basalare,right
2,-1.39529982873e-18,2,basalare,right
4,1.79394400391e-16,3,basalare,right
6,-5.46746393092e-17,1,hgs,right
8,-1.74755796965e-16,2,hgs,right
10,-2.91958877636e-20,3,hgs,right
12,9.19272586238e-17,4,hgs,right
14,4.23421741328e-17,1,first_axillary,right
16,-4.16988435499e-17,2,first_axillary,right
18,1.99422896084e-17,1,third_axillary,right
20,1.5460719478e-16,3,third_axillary,right
